---------------
WORDS: formed treatment observed 

and RESULT ITEMS:
SCORE: 6.860756 | ITEM NUMBER 1 | ITEM ID: 1355422
SCORE: 5.177291 | ITEM NUMBER 66 | ITEM ID: 970475
SCORE: 5.176592 | ITEM NUMBER 67 | ITEM ID: 1362699
SCORE: 5.172755 | ITEM NUMBER 68 | ITEM ID: 371481
SCORE: 5.170105 | ITEM NUMBER 69 | ITEM ID: 372522
SCORE: 5.164265 | ITEM NUMBER 70 | ITEM ID: 1819329
SCORE: 5.163486 | ITEM NUMBER 71 | ITEM ID: 1474236
SCORE: 5.162462 | ITEM NUMBER 72 | ITEM ID: 1971833
SCORE: 5.146376 | ITEM NUMBER 73 | ITEM ID: 2207523
SCORE: 5.115860 | ITEM NUMBER 74 | ITEM ID: 760705
SCORE: 5.098674 | ITEM NUMBER 75 | ITEM ID: 1026067
SCORE: 5.097858 | ITEM NUMBER 76 | ITEM ID: 2144816
SCORE: 5.074697 | ITEM NUMBER 77 | ITEM ID: 1720735
SCORE: 5.071879 | ITEM NUMBER 78 | ITEM ID: 8712
SCORE: 5.069879 | ITEM NUMBER 79 | ITEM ID: 1158260
SCORE: 5.065932 | ITEM NUMBER 80 | ITEM ID: 933944
SCORE: 5.065061 | ITEM NUMBER 81 | ITEM ID: 1842702
SCORE: 5.061834 | ITEM NUMBER 82 | ITEM ID: 2190761
SCORE: 5.053420 | ITEM NUMBER 83 | ITEM ID: 242578
SCORE: 5.047937 | ITEM NUMBER 84 | ITEM ID: 934414
SCORE: 5.036227 | ITEM NUMBER 85 | ITEM ID: 1823281
SCORE: 5.033414 | ITEM NUMBER 86 | ITEM ID: 1127226
SCORE: 5.001477 | ITEM NUMBER 87 | ITEM ID: 2145857
SCORE: 5.000956 | ITEM NUMBER 88 | ITEM ID: 1661592
SCORE: 4.996700 | ITEM NUMBER 89 | ITEM ID: 1000915
SCORE: 4.988096 | ITEM NUMBER 90 | ITEM ID: 1688740
SCORE: 4.984411 | ITEM NUMBER 91 | ITEM ID: 767600
SCORE: 4.983205 | ITEM NUMBER 92 | ITEM ID: 263759
SCORE: 4.979119 | ITEM NUMBER 93 | ITEM ID: 956709
SCORE: 4.977976 | ITEM NUMBER 94 | ITEM ID: 2428591
SCORE: 4.975644 | ITEM NUMBER 95 | ITEM ID: 1955391
SCORE: 4.974028 | ITEM NUMBER 96 | ITEM ID: 1040121
SCORE: 4.969524 | ITEM NUMBER 97 | ITEM ID: 369407
SCORE: 4.967973 | ITEM NUMBER 98 | ITEM ID: 1117291
SCORE: 4.964707 | ITEM NUMBER 99 | ITEM ID: 315215
SCORE: 4.949436 | ITEM NUMBER 100 | ITEM ID: 2212183
SCORE: 4.938530 | ITEM NUMBER 101 | ITEM ID: 1997984
SCORE: 4.938208 | ITEM NUMBER 102 | ITEM ID: 2157952
SCORE: 4.920432 | ITEM NUMBER 103 | ITEM ID: 2156806
SCORE: 4.913997 | ITEM NUMBER 104 | ITEM ID: 1823969
SCORE: 4.909089 | ITEM NUMBER 105 | ITEM ID: 1253424
SCORE: 4.892804 | ITEM NUMBER 106 | ITEM ID: 2104342
SCORE: 4.892706 | ITEM NUMBER 107 | ITEM ID: 2344861
SCORE: 4.876856 | ITEM NUMBER 108 | ITEM ID: 662084
SCORE: 4.872327 | ITEM NUMBER 109 | ITEM ID: 1060318
SCORE: 4.871299 | ITEM NUMBER 110 | ITEM ID: 1667576
SCORE: 4.870215 | ITEM NUMBER 111 | ITEM ID: 1202258
SCORE: 4.868190 | ITEM NUMBER 112 | ITEM ID: 2153351
SCORE: 4.866999 | ITEM NUMBER 113 | ITEM ID: 2284471
SCORE: 4.865623 | ITEM NUMBER 114 | ITEM ID: 2208637
SCORE: 4.861210 | ITEM NUMBER 115 | ITEM ID: 1256807
SCORE: 4.852702 | ITEM NUMBER 116 | ITEM ID: 1060863
SCORE: 4.849949 | ITEM NUMBER 117 | ITEM ID: 934032
SCORE: 4.848518 | ITEM NUMBER 118 | ITEM ID: 2340982
SCORE: 4.842818 | ITEM NUMBER 119 | ITEM ID: 1488324
SCORE: 4.840268 | ITEM NUMBER 120 | ITEM ID: 1830495
SCORE: 4.838606 | ITEM NUMBER 121 | ITEM ID: 1834911
SCORE: 4.838400 | ITEM NUMBER 122 | ITEM ID: 1040365
SCORE: 4.836318 | ITEM NUMBER 123 | ITEM ID: 1027818
SCORE: 4.833083 | ITEM NUMBER 124 | ITEM ID: 1500976
SCORE: 4.823335 | ITEM NUMBER 125 | ITEM ID: 895144
SCORE: 4.819303 | ITEM NUMBER 126 | ITEM ID: 1968456
SCORE: 4.814167 | ITEM NUMBER 127 | ITEM ID: 1200256
SCORE: 4.809541 | ITEM NUMBER 128 | ITEM ID: 2425125
SCORE: 4.801762 | ITEM NUMBER 129 | ITEM ID: 1718927
SCORE: 4.801551 | ITEM NUMBER 130 | ITEM ID: 1251110
SCORE: 4.801068 | ITEM NUMBER 131 | ITEM ID: 1128648
SCORE: 4.794392 | ITEM NUMBER 132 | ITEM ID: 1768709
SCORE: 4.794370 | ITEM NUMBER 133 | ITEM ID: 1252758
SCORE: 4.791118 | ITEM NUMBER 134 | ITEM ID: 1012702
SCORE: 4.790148 | ITEM NUMBER 135 | ITEM ID: 2211221
SCORE: 4.765851 | ITEM NUMBER 136 | ITEM ID: 1846170
SCORE: 4.764674 | ITEM NUMBER 137 | ITEM ID: 2158642
SCORE: 4.763588 | ITEM NUMBER 138 | ITEM ID: 815979
SCORE: 4.761624 | ITEM NUMBER 139 | ITEM ID: 1773356
SCORE: 4.760586 | ITEM NUMBER 140 | ITEM ID: 1619529
SCORE: 4.758140 | ITEM NUMBER 141 | ITEM ID: 948187
SCORE: 4.753784 | ITEM NUMBER 142 | ITEM ID: 645279
SCORE: 4.752395 | ITEM NUMBER 143 | ITEM ID: 1216974
SCORE: 4.751939 | ITEM NUMBER 144 | ITEM ID: 1839469
SCORE: 4.742101 | ITEM NUMBER 145 | ITEM ID: 1768554
SCORE: 4.741968 | ITEM NUMBER 146 | ITEM ID: 1830474
SCORE: 4.723957 | ITEM NUMBER 147 | ITEM ID: 2233933
SCORE: 4.722109 | ITEM NUMBER 148 | ITEM ID: 1477729
SCORE: 4.720744 | ITEM NUMBER 149 | ITEM ID: 1322143
SCORE: 4.716720 | ITEM NUMBER 150 | ITEM ID: 2204556
SCORE: 4.712663 | ITEM NUMBER 151 | ITEM ID: 933981
SCORE: 4.704413 | ITEM NUMBER 152 | ITEM ID: 2210285
SCORE: 4.702313 | ITEM NUMBER 153 | ITEM ID: 1833819
SCORE: 4.701049 | ITEM NUMBER 154 | ITEM ID: 1845027
SCORE: 4.700921 | ITEM NUMBER 155 | ITEM ID: 314868
SCORE: 4.689108 | ITEM NUMBER 156 | ITEM ID: 1200153
SCORE: 4.685323 | ITEM NUMBER 157 | ITEM ID: 1820294
SCORE: 4.683937 | ITEM NUMBER 158 | ITEM ID: 2343963
SCORE: 4.674006 | ITEM NUMBER 159 | ITEM ID: 1629262
SCORE: 4.666950 | ITEM NUMBER 160 | ITEM ID: 1814221
SCORE: 4.660963 | ITEM NUMBER 161 | ITEM ID: 1837765
SCORE: 4.657979 | ITEM NUMBER 162 | ITEM ID: 1835293
SCORE: 4.656834 | ITEM NUMBER 163 | ITEM ID: 2343035
SCORE: 4.656696 | ITEM NUMBER 164 | ITEM ID: 915819
SCORE: 4.656240 | ITEM NUMBER 165 | ITEM ID: 1420123
SCORE: 4.653700 | ITEM NUMBER 166 | ITEM ID: 1963819
SCORE: 4.653534 | ITEM NUMBER 167 | ITEM ID: 1092195
SCORE: 4.651010 | ITEM NUMBER 168 | ITEM ID: 1357730
SCORE: 4.648932 | ITEM NUMBER 169 | ITEM ID: 1253931
SCORE: 4.643403 | ITEM NUMBER 170 | ITEM ID: 1399447
SCORE: 4.642343 | ITEM NUMBER 171 | ITEM ID: 1997528
SCORE: 4.640381 | ITEM NUMBER 172 | ITEM ID: 1722692
SCORE: 4.638080 | ITEM NUMBER 173 | ITEM ID: 1711836
SCORE: 4.632499 | ITEM NUMBER 174 | ITEM ID: 1434672
SCORE: 4.624993 | ITEM NUMBER 175 | ITEM ID: 1119952
SCORE: 4.623877 | ITEM NUMBER 176 | ITEM ID: 864826
SCORE: 4.615541 | ITEM NUMBER 177 | ITEM ID: 693423
SCORE: 4.607817 | ITEM NUMBER 178 | ITEM ID: 660150
SCORE: 4.599804 | ITEM NUMBER 179 | ITEM ID: 2157074
SCORE: 4.597106 | ITEM NUMBER 180 | ITEM ID: 2040358
SCORE: 4.594640 | ITEM NUMBER 181 | ITEM ID: 947639
SCORE: 4.592517 | ITEM NUMBER 182 | ITEM ID: 1844724
SCORE: 4.588849 | ITEM NUMBER 183 | ITEM ID: 1310738
SCORE: 4.588086 | ITEM NUMBER 184 | ITEM ID: 2100146
SCORE: 4.578345 | ITEM NUMBER 185 | ITEM ID: 2218794
SCORE: 4.578177 | ITEM NUMBER 186 | ITEM ID: 1352294
SCORE: 4.577083 | ITEM NUMBER 187 | ITEM ID: 1981695
SCORE: 4.571973 | ITEM NUMBER 188 | ITEM ID: 1814860
SCORE: 4.571920 | ITEM NUMBER 189 | ITEM ID: 959956
SCORE: 4.569595 | ITEM NUMBER 190 | ITEM ID: 1695163
SCORE: 4.566947 | ITEM NUMBER 191 | ITEM ID: 933916
SCORE: 4.561308 | ITEM NUMBER 192 | ITEM ID: 1049299
SCORE: 4.559912 | ITEM NUMBER 193 | ITEM ID: 953764
SCORE: 4.558691 | ITEM NUMBER 194 | ITEM ID: 1461531
SCORE: 4.558572 | ITEM NUMBER 195 | ITEM ID: 1634678
SCORE: 4.556460 | ITEM NUMBER 196 | ITEM ID: 1377479
SCORE: 4.554946 | ITEM NUMBER 197 | ITEM ID: 1048719
SCORE: 4.550013 | ITEM NUMBER 198 | ITEM ID: 1281312
SCORE: 4.549611 | ITEM NUMBER 199 | ITEM ID: 1029763
SCORE: 4.538401 | ITEM NUMBER 200 | ITEM ID: 694493
SCORE: 4.532917 | ITEM NUMBER 201 | ITEM ID: 1834871
SCORE: 4.531680 | ITEM NUMBER 202 | ITEM ID: 1501487
SCORE: 4.529673 | ITEM NUMBER 203 | ITEM ID: 1821254
SCORE: 4.525821 | ITEM NUMBER 204 | ITEM ID: 86966
SCORE: 4.524816 | ITEM NUMBER 205 | ITEM ID: 2339748
SCORE: 4.524765 | ITEM NUMBER 206 | ITEM ID: 107899
SCORE: 4.521831 | ITEM NUMBER 207 | ITEM ID: 2151914
SCORE: 4.516511 | ITEM NUMBER 208 | ITEM ID: 1093843
SCORE: 4.514491 | ITEM NUMBER 209 | ITEM ID: 957166
SCORE: 4.514080 | ITEM NUMBER 210 | ITEM ID: 768227
SCORE: 4.510387 | ITEM NUMBER 211 | ITEM ID: 2204545
SCORE: 4.508688 | ITEM NUMBER 212 | ITEM ID: 1240633
SCORE: 4.507016 | ITEM NUMBER 213 | ITEM ID: 1255802
SCORE: 4.500756 | ITEM NUMBER 214 | ITEM ID: 1962615
SCORE: 4.494380 | ITEM NUMBER 215 | ITEM ID: 343211
SCORE: 4.492933 | ITEM NUMBER 216 | ITEM ID: 959886
SCORE: 4.486870 | ITEM NUMBER 217 | ITEM ID: 1833244
SCORE: 4.486834 | ITEM NUMBER 218 | ITEM ID: 961380
SCORE: 4.483551 | ITEM NUMBER 219 | ITEM ID: 1630836
SCORE: 4.479962 | ITEM NUMBER 220 | ITEM ID: 1040785
SCORE: 4.479019 | ITEM NUMBER 221 | ITEM ID: 1364603
SCORE: 4.478536 | ITEM NUMBER 222 | ITEM ID: 2080201
SCORE: 4.472165 | ITEM NUMBER 223 | ITEM ID: 316286
SCORE: 4.472141 | ITEM NUMBER 224 | ITEM ID: 63465
SCORE: 4.469230 | ITEM NUMBER 225 | ITEM ID: 1360579
SCORE: 4.461267 | ITEM NUMBER 226 | ITEM ID: 43306
SCORE: 4.460893 | ITEM NUMBER 227 | ITEM ID: 1130029
SCORE: 4.460527 | ITEM NUMBER 228 | ITEM ID: 1111726
SCORE: 4.457994 | ITEM NUMBER 229 | ITEM ID: 1975299
SCORE: 4.456884 | ITEM NUMBER 230 | ITEM ID: 1846172
SCORE: 4.445855 | ITEM NUMBER 231 | ITEM ID: 1346408
SCORE: 4.444328 | ITEM NUMBER 232 | ITEM ID: 2157021
SCORE: 4.425695 | ITEM NUMBER 233 | ITEM ID: 976782
SCORE: 4.417710 | ITEM NUMBER 234 | ITEM ID: 1505084
SCORE: 4.417319 | ITEM NUMBER 235 | ITEM ID: 969877
SCORE: 4.416930 | ITEM NUMBER 236 | ITEM ID: 970812
SCORE: 4.415468 | ITEM NUMBER 237 | ITEM ID: 648279
SCORE: 4.413354 | ITEM NUMBER 238 | ITEM ID: 649347
SCORE: 4.403885 | ITEM NUMBER 239 | ITEM ID: 2063907
SCORE: 4.400924 | ITEM NUMBER 240 | ITEM ID: 1614127
SCORE: 4.399008 | ITEM NUMBER 241 | ITEM ID: 1160805
SCORE: 4.397691 | ITEM NUMBER 242 | ITEM ID: 2361041
SCORE: 4.395522 | ITEM NUMBER 243 | ITEM ID: 1069917
SCORE: 4.393656 | ITEM NUMBER 244 | ITEM ID: 1981242
SCORE: 4.392915 | ITEM NUMBER 245 | ITEM ID: 1165605
SCORE: 4.389153 | ITEM NUMBER 246 | ITEM ID: 2152708
SCORE: 4.388244 | ITEM NUMBER 247 | ITEM ID: 1976051
SCORE: 4.387917 | ITEM NUMBER 248 | ITEM ID: 1323151
SCORE: 4.387602 | ITEM NUMBER 249 | ITEM ID: 970042
SCORE: 4.386411 | ITEM NUMBER 250 | ITEM ID: 1026414
SCORE: 4.385585 | ITEM NUMBER 251 | ITEM ID: 1894367
SCORE: 4.384658 | ITEM NUMBER 252 | ITEM ID: 945979
SCORE: 4.384390 | ITEM NUMBER 253 | ITEM ID: 1007267
SCORE: 4.379871 | ITEM NUMBER 254 | ITEM ID: 1816120
SCORE: 4.377698 | ITEM NUMBER 255 | ITEM ID: 1735148
SCORE: 4.373363 | ITEM NUMBER 256 | ITEM ID: 1198301
SCORE: 4.372833 | ITEM NUMBER 257 | ITEM ID: 1209204
SCORE: 4.370928 | ITEM NUMBER 258 | ITEM ID: 2332581
SCORE: 4.361782 | ITEM NUMBER 259 | ITEM ID: 1257059
SCORE: 4.358525 | ITEM NUMBER 260 | ITEM ID: 1352377
SCORE: 4.356658 | ITEM NUMBER 261 | ITEM ID: 1214990
SCORE: 4.356516 | ITEM NUMBER 262 | ITEM ID: 2029423
SCORE: 4.356177 | ITEM NUMBER 263 | ITEM ID: 1711511
SCORE: 4.352667 | ITEM NUMBER 264 | ITEM ID: 761798
SCORE: 4.344769 | ITEM NUMBER 265 | ITEM ID: 2148193
SCORE: 4.344318 | ITEM NUMBER 266 | ITEM ID: 1400847
SCORE: 4.343557 | ITEM NUMBER 267 | ITEM ID: 2096280
SCORE: 4.337033 | ITEM NUMBER 268 | ITEM ID: 1088050
SCORE: 4.336172 | ITEM NUMBER 269 | ITEM ID: 1153588
SCORE: 4.330068 | ITEM NUMBER 270 | ITEM ID: 411075
SCORE: 4.327116 | ITEM NUMBER 271 | ITEM ID: 2158105
SCORE: 4.326033 | ITEM NUMBER 272 | ITEM ID: 958967
SCORE: 4.321075 | ITEM NUMBER 273 | ITEM ID: 1205218
SCORE: 4.313704 | ITEM NUMBER 274 | ITEM ID: 2344129
SCORE: 4.311886 | ITEM NUMBER 275 | ITEM ID: 690708
SCORE: 4.311743 | ITEM NUMBER 276 | ITEM ID: 1248538
SCORE: 4.310983 | ITEM NUMBER 277 | ITEM ID: 1091603
SCORE: 4.308588 | ITEM NUMBER 278 | ITEM ID: 1956189
SCORE: 4.308152 | ITEM NUMBER 279 | ITEM ID: 1116265
SCORE: 4.305751 | ITEM NUMBER 280 | ITEM ID: 1708052
SCORE: 4.298089 | ITEM NUMBER 281 | ITEM ID: 2496213
SCORE: 4.294626 | ITEM NUMBER 282 | ITEM ID: 456974
SCORE: 4.289026 | ITEM NUMBER 283 | ITEM ID: 1027047
SCORE: 4.288513 | ITEM NUMBER 284 | ITEM ID: 1822628
SCORE: 4.285208 | ITEM NUMBER 285 | ITEM ID: 1979280
SCORE: 4.281543 | ITEM NUMBER 286 | ITEM ID: 965308
SCORE: 4.279116 | ITEM NUMBER 287 | ITEM ID: 2205326
SCORE: 4.279016 | ITEM NUMBER 288 | ITEM ID: 1128024
SCORE: 4.277295 | ITEM NUMBER 289 | ITEM ID: 1205063
SCORE: 4.276590 | ITEM NUMBER 290 | ITEM ID: 2214672
SCORE: 4.274832 | ITEM NUMBER 291 | ITEM ID: 1352461
SCORE: 4.274072 | ITEM NUMBER 292 | ITEM ID: 1770616
SCORE: 4.273987 | ITEM NUMBER 293 | ITEM ID: 2213870
SCORE: 4.269529 | ITEM NUMBER 294 | ITEM ID: 1322924
SCORE: 4.269430 | ITEM NUMBER 295 | ITEM ID: 1632776
SCORE: 4.263313 | ITEM NUMBER 296 | ITEM ID: 766809
SCORE: 4.262082 | ITEM NUMBER 297 | ITEM ID: 2424060
SCORE: 4.257897 | ITEM NUMBER 298 | ITEM ID: 1694264
SCORE: 4.257487 | ITEM NUMBER 299 | ITEM ID: 1254478
SCORE: 4.256603 | ITEM NUMBER 300 | ITEM ID: 269043
SCORE: 4.253376 | ITEM NUMBER 301 | ITEM ID: 1774105
SCORE: 4.249341 | ITEM NUMBER 302 | ITEM ID: 691615
SCORE: 4.247785 | ITEM NUMBER 303 | ITEM ID: 331571
SCORE: 4.243721 | ITEM NUMBER 304 | ITEM ID: 637937
SCORE: 4.242622 | ITEM NUMBER 305 | ITEM ID: 1029342
SCORE: 4.240751 | ITEM NUMBER 306 | ITEM ID: 1537886
SCORE: 4.237535 | ITEM NUMBER 307 | ITEM ID: 266541
SCORE: 4.235187 | ITEM NUMBER 308 | ITEM ID: 1290694
SCORE: 4.220556 | ITEM NUMBER 309 | ITEM ID: 1823757
SCORE: 4.218643 | ITEM NUMBER 310 | ITEM ID: 1460213
SCORE: 4.207796 | ITEM NUMBER 311 | ITEM ID: 1154443
SCORE: 4.203485 | ITEM NUMBER 312 | ITEM ID: 1110999
SCORE: 4.200372 | ITEM NUMBER 313 | ITEM ID: 1201821
SCORE: 4.196746 | ITEM NUMBER 314 | ITEM ID: 1840633
SCORE: 4.196622 | ITEM NUMBER 315 | ITEM ID: 1828915
SCORE: 4.195705 | ITEM NUMBER 316 | ITEM ID: 315628
SCORE: 4.194424 | ITEM NUMBER 317 | ITEM ID: 946824
SCORE: 4.192172 | ITEM NUMBER 318 | ITEM ID: 1232399
SCORE: 4.182142 | ITEM NUMBER 319 | ITEM ID: 2398638
SCORE: 4.176927 | ITEM NUMBER 320 | ITEM ID: 650744
SCORE: 4.176429 | ITEM NUMBER 321 | ITEM ID: 1837769
SCORE: 4.174243 | ITEM NUMBER 322 | ITEM ID: 972606
SCORE: 4.169376 | ITEM NUMBER 323 | ITEM ID: 1846243
SCORE: 4.168603 | ITEM NUMBER 324 | ITEM ID: 1140845
SCORE: 4.168284 | ITEM NUMBER 325 | ITEM ID: 1127540
SCORE: 4.157925 | ITEM NUMBER 326 | ITEM ID: 1881918
SCORE: 4.151364 | ITEM NUMBER 327 | ITEM ID: 954424
SCORE: 4.144307 | ITEM NUMBER 328 | ITEM ID: 264801
SCORE: 4.142232 | ITEM NUMBER 329 | ITEM ID: 1347626
SCORE: 4.133727 | ITEM NUMBER 330 | ITEM ID: 1201936
SCORE: 4.128848 | ITEM NUMBER 331 | ITEM ID: 112828
SCORE: 4.128660 | ITEM NUMBER 332 | ITEM ID: 1026956
SCORE: 4.127625 | ITEM NUMBER 333 | ITEM ID: 2196200
SCORE: 4.124936 | ITEM NUMBER 334 | ITEM ID: 1964715
SCORE: 4.120101 | ITEM NUMBER 335 | ITEM ID: 541566
SCORE: 4.119406 | ITEM NUMBER 336 | ITEM ID: 2148292
SCORE: 4.119327 | ITEM NUMBER 337 | ITEM ID: 699233
SCORE: 4.116725 | ITEM NUMBER 338 | ITEM ID: 1407079
SCORE: 4.115796 | ITEM NUMBER 339 | ITEM ID: 2340054
SCORE: 4.111566 | ITEM NUMBER 340 | ITEM ID: 1996366
SCORE: 4.108168 | ITEM NUMBER 341 | ITEM ID: 1995796
SCORE: 4.105745 | ITEM NUMBER 342 | ITEM ID: 317029
SCORE: 4.104810 | ITEM NUMBER 343 | ITEM ID: 2116733
SCORE: 4.104328 | ITEM NUMBER 344 | ITEM ID: 2099175
SCORE: 4.094624 | ITEM NUMBER 345 | ITEM ID: 344361
SCORE: 4.091852 | ITEM NUMBER 346 | ITEM ID: 1241874
SCORE: 4.091328 | ITEM NUMBER 347 | ITEM ID: 2353913
SCORE: 4.089415 | ITEM NUMBER 348 | ITEM ID: 1248525
SCORE: 4.088165 | ITEM NUMBER 349 | ITEM ID: 701679
SCORE: 4.082563 | ITEM NUMBER 350 | ITEM ID: 1458908
SCORE: 4.082067 | ITEM NUMBER 351 | ITEM ID: 1958968
SCORE: 4.079714 | ITEM NUMBER 352 | ITEM ID: 934952
SCORE: 4.079253 | ITEM NUMBER 353 | ITEM ID: 974115
SCORE: 4.072569 | ITEM NUMBER 354 | ITEM ID: 332162
SCORE: 4.071908 | ITEM NUMBER 355 | ITEM ID: 1200345
SCORE: 4.071145 | ITEM NUMBER 356 | ITEM ID: 1706946
SCORE: 4.070850 | ITEM NUMBER 357 | ITEM ID: 2341630
SCORE: 4.068263 | ITEM NUMBER 358 | ITEM ID: 457005
SCORE: 4.060125 | ITEM NUMBER 359 | ITEM ID: 2229828
SCORE: 4.057123 | ITEM NUMBER 360 | ITEM ID: 2155034
SCORE: 4.049969 | ITEM NUMBER 361 | ITEM ID: 2344244
SCORE: 4.049416 | ITEM NUMBER 362 | ITEM ID: 2151559
SCORE: 4.045306 | ITEM NUMBER 363 | ITEM ID: 1624858
SCORE: 4.044768 | ITEM NUMBER 364 | ITEM ID: 1253191
SCORE: 4.044700 | ITEM NUMBER 365 | ITEM ID: 1839128
SCORE: 4.043539 | ITEM NUMBER 366 | ITEM ID: 2220492
SCORE: 4.039906 | ITEM NUMBER 367 | ITEM ID: 1985226
SCORE: 4.038761 | ITEM NUMBER 368 | ITEM ID: 1257403
SCORE: 4.038128 | ITEM NUMBER 369 | ITEM ID: 1970328
SCORE: 4.036590 | ITEM NUMBER 370 | ITEM ID: 1835297
SCORE: 4.033642 | ITEM NUMBER 371 | ITEM ID: 1889450
SCORE: 4.030837 | ITEM NUMBER 372 | ITEM ID: 1215140
SCORE: 4.023037 | ITEM NUMBER 373 | ITEM ID: 1216850
SCORE: 4.021307 | ITEM NUMBER 374 | ITEM ID: 66046
SCORE: 4.020597 | ITEM NUMBER 375 | ITEM ID: 1711503
SCORE: 4.019555 | ITEM NUMBER 376 | ITEM ID: 1719743
SCORE: 4.019096 | ITEM NUMBER 377 | ITEM ID: 1823742
SCORE: 4.018813 | ITEM NUMBER 378 | ITEM ID: 1894591
